"pid","address","value","buildings","year","land","living","good","style","model","grade","beds","baths","heatfuel","heattype","ac","nghd"
422,"215 UPSON TER",144620,1,1938,0.15,2084,68,"Colonial","Single Family","Above Average",3,1,"Oil/Gas","FA/HW/ST","None","	 0200"
423,"140 SOUND VIEW TER",166600,1,1925,0.17,1588,90,"Cape Cod","Single Family","Above Average",4,2,"Oil/Gas","Hot Water","None","	 0200"
425,"136 SOUND VIEW TER",148890,1,1935,0.12,1623,78,"Colonial","Single Family","Above Average",3,1,"Oil/Gas","Hot Water","Central","	 0200"
429,"92 SOUND VIEW TER",148540,1,1938,0.13,1480,90,"Colonial","Single Family","Above Average",3,1,"Oil/Gas","FA/HW/ST","None","	 0200"
433,"105 TUTTLE DR",191240,1,1961,0.29,2460,78,"Cape Cod","Single Family","Above Average",4,3,"Oil/Gas","FA/HW/ST","Central","	 0200"
434,"115 TUTTLE DR",223370,1,1961,0.29,2658,78,"Ranch","Single Family","Above Average",4,2,"Gas/Oil","Hot Water","Central","	 0200"
435,"123 TUTTLE DR",162260,1,1968,0.29,1632,78,"Ranch","Single Family","Above Average",3,1,"Oil/Gas","FA/HW/ST","Central","	 0200"
438,"147 TUTTLE DR",135730,1,1950,0.28,1500,68,"Ranch","Single Family","Above Average",3,1,"Oil/Gas","FA/HW/ST","Central","	 0200"
439,"155 TUTTLE DR",176750,1,1961,0.28,1890,78,"Ranch","Single Family","Above Average",3,2,"Oil/Gas","FA/HW/ST","Central","	 0200"
442,"110 TOWNSEND TER",128450,1,1964,0.15,1118,78,"Raised Ranch","Single Family","Average",3,2,"Gas/Oil","Hot Water","Central","	 0200"
443,"102 TOWNSEND TER",130620,1,1964,0.15,1286,78,"Raised Ranch","Single Family","Average",3,2,"Oil/Gas","Hot Water","Central","	 0200"
448,"72 TOWNSEND TER",151480,1,1964,0.16,1264,78,"Raised Ranch","Single Family","Above Average",4,2,"Oil/Gas","FA/HW/ST","Central","	 0200"
454,"30 TOWNSEND TER",134960,1,1962,0.18,1344,68,"Split-Level","Single Family","Above Average",3,2,"Oil/Gas","FA/HW/ST","Central","	 0200"
455,"22 TOWNSEND TER",122570,1,1964,0.19,1244,68,"Ranch","Single Family","Above Average",2,1,"Oil/Gas","FA/HW/ST","Central","	 0200"
462,"757 TOWNSEND AV",157780,1,1856,0.46,2161,68,"Cape Cod","Single Family","Above Average",4,2,"Oil/Gas","FA/HW/ST","None","	 0200"
463,"765 TOWNSEND AV",167860,1,1959,0.3,1724,78,"Ranch","Single Family","Above Average",3,1,"Oil/Gas","FA/HW/ST","Central","	 0200"
464,"601 TOWNSEND AV",226100,1,1918,0.44,2678,78,"Colonial","Single Family","Good",4,1,"Oil/Gas","FA/HW/ST","None","	 0200"
468,"41 HALL ST",186270,1,1946,0.2,2244,90,"Colonial","Single Family","Above Average",5,2,"Oil/Gas","FA/HW/ST","Central","	 0200"
472,"65 HALL ST",118650,1,1946,0.21,1372,68,"Colonial","Single Family","Above Average",3,1,"Oil/Gas","FA/HW/ST","None","	 0200"
474,"77 HALL ST",139930,1,1945,0.21,1932,68,"Colonial","Single Family","Above Average",3,1,"Oil/Gas","Steam","None","	 0200"
475,"83 HALL ST",119770,1,1946,0.2,1432,68,"Colonial","Single Family","Above Average",3,1,"Oil/Gas","Hot Water","None","	 0200"
478,"103 HALL ST",140630,1,1946,0.2,1372,90,"Colonial","Single Family","Above Average",3,1,"Oil/Gas","FA/HW/ST","None","	 0200"
479,"105 HALL ST",122570,1,1946,0.21,1372,68,"Colonial","Single Family","Above Average",3,1,"Oil/Gas","FA/HW/ST","None","	 0200"
480,"424 FORT HALE RD",127890,1,1957,0.33,1040,78,"Ranch","Single Family","Above Average",2,1,"Oil/Gas","FA/HW/ST","None","	 0200"
481,"408 FORT HALE RD",132790,1,1920,0.16,1459,78,"Colonial","Single Family","Above Average",3,1,"Oil/Gas","Hot Water","None","	 0200"
487,"340 FORT HALE RD",145740,1,1920,0.19,1740,78,"Cape Cod","Single Family","Above Average",4,2,"Gas/Oil","FA/HW/ST","Central","	 0200"
491,"294 FORT HALE RD",159740,1,1930,0.2,1635,90,"Colonial","Single Family","Above Average",3,1,"Oil/Gas","FA/HW/ST","None","	 0200"
496,"591 TOWNSEND AV",170520,1,1945,0.42,1938,78,"Cape Cod","Single Family","Above Average",3,1,"Oil/Gas","FA/HW/ST","None","	 0200"
497,"106 HALL ST",181930,1,1957,0.27,1914,78,"Ranch","Single Family","Above Average",2,3,"Oil/Gas","FA/HW/ST","None","	 0200"
506,"54 HALL ST",142730,1,1946,0.24,1612,78,"Colonial","Single Family","Above Average",3,1,"Oil/Gas","FA/HW/ST","None","	 0200"
507,"46 HALL ST",131110,1,1946,0.3,1344,78,"Colonial","Single Family","Above Average",3,1,"Oil/Gas","FA/HW/ST","None","	 0200"
510,"28 HALL ST",141820,1,1946,0.29,1642,78,"Colonial","Single Family","Above Average",3,1,"Oil/Gas","FA/HW/ST","None","	 0200"
511,"22 HALL ST",130900,1,1946,0.26,1543,68,"Cape Cod","Single Family","Above Average",3,1,"Oil/Gas","FA/HW/ST","None","	 0200"
521,"33 TOWNSEND TER",188090,1,1962,0.18,1972,78,"Colonial","Single Family","Ave/Good",4,2,"Gas/Oil","FA/HW/ST","Central","	 0200"
526,"59 TOWNSEND TER",102900,1,1961,0.15,912,68,"Raised Ranch","Single Family","Above Average",2,1,"Oil/Gas","Hot Water","Central","	 0200"
527,"65 TOWNSEND TER",143290,1,1961,0.18,1144,78,"Raised Ranch","Single Family","Above Average",3,1,"Oil/Gas","FA/HW/ST","Central","	 0200"
530,"85 TOWNSEND TER",122780,1,1965,0.13,1092,78,"Raised Ranch","Single Family","Average",3,1,"Oil/Gas","FA/HW/ST","Central","	 0200"
531,"91 TOWNSEND TER",104230,1,1961,0.14,1008,78,"Raised Ranch","Single Family","Average",3,1,"Gas/Oil","Hot Water","Central","	 0200"
537,"19 TOLLI TER",143430,1,1972,0.17,1236,83,"Raised Ranch","Single Family","Above Average",3,2,"Electric","Electr Basebrd","Central","	 0200"
546,"20 TOLLI TER",144410,1,1972,0.17,1332,72,"Raised Ranch","Single Family","Above Average",3,2,"Oil/Gas","Hot Water","None","	 0200"
547,"10 TOLLI TER",137970,1,1999,0.17,1317,86,"Raised Ranch","Single Family","Above Average",3,2,"Oil/Gas","FA/HW/ST","Central","	 0200"
551,"21 STUYVESANT AV",149660,1,1918,0.14,1628,78,"Colonial","Single Family","Above Average",3,2,"Oil/Gas","FA/HW/ST","None","	 0101"
560,"65 STUYVESANT AV",131740,1,1935,0.14,1560,78,"Colonial","Single Family","Average",2,1,"Oil/Gas","FA/HW/ST","None","	 0101"
566,"74 HYDE ST",146720,1,1940,0.13,1421,78,"Colonial","Single Family","Above Average",3,2,"Oil/Gas","FA/HW/ST","Central","	 0101"
567,"76 GIRARD AV",125160,1,1955,0.11,1198,68,"Ranch","Single Family","Above Average",3,2,"Oil/Gas","FA/HW/ST","None","	 0101"
570,"56 GIRARD AV",132580,1,1905,0.14,1517,68,"Cape Cod","Single Family","Above Average",3,2,"Oil/Gas","FA/HW/ST","None","	 0101"
571,"52 GIRARD AV",146160,1,1929,0.15,1372,89,"Colonial","Single Family","Above Average",3,1,"Gas/Oil","FA/HW/ST","None","	 0101"
576,"24 GIRARD AV",142520,1,1954,0.29,1485,68,"Ranch","Single Family","Above Average",3,2,"Gas/Oil","Hot Water","None","	 0101"
583,"255 FORT HALE RD",146300,1,1948,0.2,1610,68,"Cape Cod","Single Family","Above Average",3,3,"Oil/Gas","FA/HW/ST","None","	 0101"
584,"267 FORT HALE RD",174370,1,1948,0.28,2373,68,"Cape Cod","Single Family","Above Average",4,1,"Oil/Gas","FA/HW/ST","Central","	 0101"
585,"287 FORT HALE RD",177240,1,1940,0.26,2009,78,"Cape Cod","Single Family","Above Average",4,1,"Oil/Gas","FA/HW/ST","None","	 0101"
588,"325 FORT HALE RD",193900,1,1950,0.44,2119,78,"Cape Cod","Single Family","Above Average",3,2,"Oil/Gas","FA/HW/ST","Central","	 0101"
589,"339 FORT HALE RD",162400,1,1940,0.41,1626,90,"Colonial","Single Family","Above Average",4,2,"Gas/Oil","FA/HW/ST","Central","	 0101"
592,"387 FORT HALE RD",167860,1,1860,0.46,1792,90,"Colonial","Single Family","Average",3,2,"Oil/Gas","Hot Water","None","	 0101"
593,"405 FORT HALE RD",121170,1,1928,0.16,1255,68,"Colonial","Single Family","Above Average",3,1,"Oil/Gas","FA/HW/ST","Central","	 0101"
595,"136 HYDE ST",123200,1,1930,0.16,1531,68,"Colonial","Single Family","Above Average",3,1,"Oil/Gas","FA/HW/ST","None","	 0101"
599,"116 HYDE ST",142240,1,1936,0.16,1476,78,"Colonial","Single Family","Above Average",3,1,"Oil/Gas","Steam","Central","	 0101"
603,"72 STUYVESANT AV",116480,1,1966,0.13,1268,68,"Ranch","Single Family","Average",3,1,"Oil/Gas","FA/HW/ST","Central","	 0101"
608,"48 STUYVESANT AV",150850,1,1930,0.21,1934,78,"Colonial","Single Family","Above Average",3,1,"Oil/Gas","FA/HW/ST","None","	 0101"
612,"16 STUYVESANT AV",195790,1,1920,0.23,2158,90,"Colonial","Single Family","Above Average",3,2,"Gas/Oil","Hot Water","None","	 0101"
614,"511 TOWNSEND AV",197120,1,1927,0.17,2612,76,"Colonial","Single Family","Ave/Good",3,2,"Gas/Oil","FA/HW/ST","Central","	 0101"
615,"519 TOWNSEND AV",116130,1,1950,0.17,1230,68,"Ranch","Single Family","Average",2,1,"Oil/Gas","FA/HW/ST","Central","	 0101"
618,"535 TOWNSEND AV",156100,1,1951,0.26,1684,68,"Cape Cod","Single Family","Above Average",3,2,"Gas/Oil","FA/HW/ST","Central","	 0101"
619,"541 TOWNSEND AV",135940,1,1950,0.26,1600,68,"Cape Cod","Single Family","Above Average",3,2,"Oil/Gas","FA/HW/ST","None","	 0101"
622,"73 HYDE ST",113470,1,1935,0.15,1272,68,"Cape Cod","Single Family","Above Average",4,1,"Oil/Gas","FA/HW/ST","None","	 0200"
623,"77 HYDE ST",112070,1,1925,0.11,1362,68,"Colonial","Single Family","Above Average",3,1,"Gas/Oil","Hot Water","None","	 0200"
624,"81 HYDE ST",114450,1,1927,0.14,1362,68,"Colonial","Single Family","Above Average",3,1,"Oil/Gas","Hot Water","Central","	 0200"
632,"112 GIRARD AV",143500,1,1940,0.24,1723,78,"Colonial","Single Family","Average",3,1,"Oil/Gas","Hot Water","Central","	 0200"
634,"5 STEWART ST",139860,1,1955,0.15,1356,68,"Ranch","Single Family","Above Average",3,1,"Oil/Gas","Hot Water","Central","	 0200"
635,"21 STEWART ST",147630,1,1952,0.17,1564,78,"Ranch","Single Family","Above Average",3,1,"Oil/Gas","Hot Water","Central","	 0200"
638,"145 STUYVESANT AV",156170,1,1955,0.24,1710,85,"Colonial","Single Family","Above Average",3,2,"Electric","Heat pump","Heat Pump","	 0200"
639,"204 BURR ST",111440,1,1952,0.21,1358,55,"Ranch","Single Family","Above Average",3,1,"Oil/Gas","FA/HW/ST","None","	 0200"
642,"132 GIRARD AV",107870,1,1950,0.15,1458,63,"Cape Cod","Single Family","Average",3,1,"Oil/Gas","FA/HW/ST","Central","	 0200"
643,"105 HYDE ST",119560,1,1928,0.16,1497,68,"Colonial","Single Family","Above Average",3,1,"Gas/Oil","FA/HW/ST","None","	 0200"
645,"115 HYDE ST",91210,1,1920,0.16,888,68,"Bungalow","Single Family","Average",2,1,"Oil/Gas","Hot Water","None","	 0200"
649,"141 HYDE ST",132300,1,1920,0.17,1438,78,"Bungalow","Single Family","Above Average",3,1,"Gas/Oil","FA/HW/ST","Central","	 0200"
653,"487 FORT HALE RD",129080,1,1920,0.23,1188,78,"Cape Cod","Single Family","Above Average",2,2,"Oil/Gas","FA/HW/ST","Central","	 0200"
654,"495 FORT HALE RD",129080,1,1961,0.15,1212,78,"Ranch","Single Family","Above Average",3,1,"Gas/Oil","FA/HW/ST","Central","	 0200"
655,"54 STEWART ST",142590,1,1984,0.17,1138,87,"Raised Ranch","Single Family","Average",2,2,"Electric","Electr Basebrd","Central","	 0200"
658,"120 STUYVESANT AV",153230,1,1950,0.26,1796,78,"Cape Cod","Single Family","Above Average",4,2,"Oil/Gas","FA/HW/ST","None","	 0200"
659,"35 STEWART ST",149730,1,1935,0.14,1630,78,"Cape Cod","Single Family","Above Average",4,2,"Oil/Gas","FA/HW/ST","None","	 0200"
662,"49 STEWART ST",106470,1,1920,0.2,1332,78,"Bungalow","Single Family","Average",1,1,"Oil/Gas","Hot Water","Central","	 0200"
663,"57 STEWART ST",159250,1,1938,0.2,2046,78,"Colonial","Single Family","Above Average",4,2,"Oil/Gas","FA/HW/ST","Central","	 0200"
665,"535 FORT HALE RD",130900,1,1951,0.23,1518,68,"Cape Cod","Single Family","Above Average",4,2,"Oil/Gas","FA/HW/ST","None","	 0200"
673,"150 STUYVESANT AV",113050,1,1940,0.21,1321,68,"Cape Cod","Single Family","Above Average",2,1,"Oil/Gas","FA/HW/ST","Central","	 0200"
674,"146 STUYVESANT AV",120190,1,1935,0.21,1502,68,"Cape Cod","Single Family","Above Average",2,1,"Oil/Gas","FA/HW/ST","Central","	 0200"
675,"151 HYDE ST",133280,1,1945,0.18,1672,68,"Colonial","Single Family","Above Average",3,3,"Oil/Gas","FA/HW/ST","Central","	 0200"
678,"119 HALL ST",132860,1,1982,0.17,901,80,"Raised Ranch","Single Family","Above Average",1,2,"Gas/Oil","FA/HW/ST","Central","	 0200"
679,"129 HALL ST",139160,1,1958,0.34,1140,68,"Ranch","Single Family","Above Average",3,2,"Gas/Oil","Hot Water","Central","	 0200"
