"pid","address","value","buildings","year","land","living","good","style","model","grade","beds","baths","heatfuel","heattype","ac","nghd"
11791,"60 NICOLL ST",199360,1,1882,0.08,1368,68,"Colonial","Single Family","Average",2,1,"Gas/Oil","Hot Water","None","	 1200"
11857,"33 LINDEN ST",310660,1,1915,0.12,1760,89,"Colonial","Single Family","Ave/Good",3,2,"Gas/Oil","FA/HW/ST","Central","	 1200"
11892,"25 AVON ST",297290,1,1900,0.12,2128,78,"Colonial","Single Family","Above Average",5,2,"Oil/Gas","FA/HW/ST","Central","	 1200"
11893,"29 AVON ST",285110,1,1900,0.12,2150,78,"Colonial","Single Family","Above Average",4,2,"Oil/Gas","FA/HW/ST","None","	 1200"
11939,"85 LIVINGSTON ST",401660,1,1910,0.13,2876,78,"Colonial","Single Family","Very Good",6,3,"Gas/Oil","Hot Water","None","	 1300"
11954,"79 COTTAGE ST",379330,1,1890,0.15,3296,78,"Colonial","Single Family","Ave/Good",5,2,"Oil/Gas","Steam","Central","	 1300"
11962,"77 LIVINGSTON ST",399070,1,1910,0.13,3054,90,"Colonial","Single Family","Good",3,2,"Oil/Gas","FA/HW/ST","Central","	 1300"
11975,"147 LINDEN ST",397950,1,1910,0.15,2873,78,"Colonial","Single Family","Very Good",5,2,"Oil/Gas","FA/HW/ST","None","	 1300"
11978,"161 LINDEN ST",477680,1,1906,0.18,3305,90,"Colonial","Single Family","Very Good",4,3,"Oil/Gas","FA/HW/ST","Central","	 1300"
11980,"175 LINDEN ST",392210,1,1910,0.18,2754,78,"Colonial","Single Family","Very Good",7,4,"Gas/Oil","Hot Water","None","	 1300"
11981,"179 LINDEN ST",398370,1,1910,0.16,3378,68,"Colonial","Single Family","Very Good",4,3,"Oil/Gas","FA/HW/ST","Central","	 1300"
12010,"115 LINDEN ST",358260,1,1910,0.12,3022,78,"Colonial","Single Family","Ave/Good",5,3,"Oil/Gas","FA/HW/ST","None","	 1300"
12027,"762 ORANGE ST",294000,1,1903,0.07,1758,78,"Colonial","Single Family","Good",3,2,"Oil/Gas","FA/HW/ST","None","	 1300"
12040,"123 AVON ST",306810,1,1910,0.13,1929,78,"Cape Cod","Single Family","Ave/Good",4,2,"Oil/Gas","FA/HW/ST","None","	 1300"
12047,"507 WHITNEY AV",417340,1,1888,0.31,3311,68,"Colonial","Single Family","Vg/Exc",4,3,"Gas/Oil","Hot Water","None","	 1300"
12050,"222 CANNER ST",279090,1,1887,0.12,2040,68,"Colonial","Single Family","Above Average",3,2,"Oil/Gas","Hot Water","None","	 1300"
12056,"194 CANNER ST",335650,1,1910,0.15,2605,78,"Colonial","Single Family","Ave/Good",4,3,"Oil/Gas","FA/HW/ST","None","	 1300"
12066,"341 WILLOW ST",418110,1,1907,0.19,3796,68,"Colonial","Single Family","Very Good",4,2,"Oil/Gas","Hot Water","None","	 1300"
12083,"166 COLD SPRING ST",393470,1,1900,0.15,3274,68,"Colonial","Single Family","Very Good",7,3,"Oil/Gas","FA/HW/ST","None","	 1300"
12084,"36 EVERIT ST",392140,1,1908,0.21,3219,68,"Colonial","Single Family","Very Good",6,2,"Gas/Oil","Hot Water","None","	 1300"
12085,"32 EVERIT ST",420490,1,1907,0.19,3194,78,"Colonial","Single Family","Very Good",6,2,"Oil/Gas","Hot Water","None","	 1300"
12088,"18 EVERIT ST",432180,1,1907,0.19,3303,78,"Colonial","Single Family","Very Good",5,3,"Gas/Oil","FA/HW/ST","Partial","	 1300"
12089,"14 EVERIT ST",405300,1,1905,0.22,3322,68,"Colonial","Single Family","Very Good",4,2,"Oil/Gas","Hot Water","Central","	 1300"
12092,"223 CANNER ST",417060,1,1910,0.21,3011,78,"Colonial","Single Family","Very Good",5,2,"Oil/Gas","FA/HW/ST","None","	 1300"
12093,"231 CANNER ST",399700,1,1900,0.22,3187,78,"Colonial","Single Family","Good",4,2,"Oil/Gas","FA/HW/ST","Central","	 1300"
12095,"9 EVERIT ST",442470,1,1910,0.16,3481,78,"Colonial","Single Family","Very Good",4,3,"Gas/Oil","Hot Water","Central","	 1300"
12103,"142 COLD SPRING ST",468930,1,1905,0.18,3772,78,"Colonial","Single Family","Very Good",6,3,"Oil/Gas","Hot Water","Central","	 1300"
12105,"130 COLD SPRING ST",349160,1,1920,0.16,3871,55,"Colonial","Single Family","Good",4,3,"Oil/Gas","FA/HW/ST","Central","	 1300"
12109,"188 LIVINGSTON ST",423570,1,1910,0.16,3218,78,"Colonial","Single Family","Very Good",5,3,"Gas/Oil","FA/HW/ST","Central","	 1300"
12115,"591 WHITNEY AV",405370,1,1900,0.23,5652,78,"Mix Use Res Tp","Single Family","Ave/Good",6,3,"Oil/Gas","Hot Water","None","	 WHI6"
12134,"116 EVERIT ST",547750,1,1900,0.39,3988,78,"Colonial","Single Family","Excellent",6,4,"Oil/Gas","FA/HW/ST","Central","	 1300"
12138,"86 EVERIT ST",682500,1,1900,0.43,4629,90,"Colonial","Single Family","Excellent +",3,2,"Oil/Gas","Hot Water","Central","	 1300"
12139,"76 EVERIT ST",889840,1,1909,0.51,8105,68,"Colonial","Single Family","Excellent +",9,6,"Oil/Gas","Hot Water","None","	 1300"
12143,"179 COLD SPRING ST",411250,1,1900,0.17,3128,68,"Colonial","Single Family","Very Good",4,2,"Gas/Oil","Hot Water","None","	 1300"
12148,"97 EVERIT ST",413700,1,1913,0.22,3041,68,"Colonial","Single Family","Vg/Exc",5,3,"Gas/Oil","FA/HW/ST","Central","	 1300"
12152,"123 EVERIT ST",467670,1,1908,0.2,3564,78,"Colonial","Single Family","Vg/Exc",7,2,"Gas/Oil","FA/HW/ST","Central","	 1300"
12155,"286 LIVINGSTON ST",695660,1,1917,0.29,4263,90,"Colonial","Single Family","Superior -",5,3,"Oil/Gas","FA/HW/ST","Central","	 1300"
12158,"266 LIVINGSTON ST",698880,1,1910,0.25,3952,78,"Colonial","Single Family","Superior +",6,2,"Oil/Gas","FA/HW/ST","Central","	 1300"
12159,"250 LIVINGSTON ST",957320,1,1913,0.47,6158,90,"Colonial","Single Family","Superior -",5,3,"Gas/Oil","FA/HW/ST","Central","	 1300"
12162,"137 COLD SPRING ST",527730,1,1910,0.3,4471,78,"Colonial","Single Family","Vg/Exc",5,4,"Oil/Gas","FA/HW/ST","None","	 1300"
12163,"141 COLD SPRING ST",437570,1,1906,0.16,3937,68,"Colonial","Single Family","Vg/Exc",4,3,"Gas/Oil","FA/HW/ST","None","	 1300"
12164,"145 COLD SPRING ST",560910,1,1910,0.17,3831,90,"Colonial","Single Family","Excellent",8,3,"Gas/Oil","Steam","Central","	 1300"
12174,"98 EAST ROCK RD",402080,1,1916,0.19,3112,65,"Colonial","Single Family","Very Good",8,5,"Gas/Oil","FA/HW/ST","Central","	 1300"
12175,"94 EAST ROCK RD",580650,1,1912,0.33,4939,78,"Colonial","Single Family","Vg/Exc",9,4,"Oil/Gas","FA/HW/ST","Central","	 1300"
12178,"230 EVERIT ST",365400,1,1890,0.11,2614,68,"Duplex","Single Family","Vg/Exc",5,2,"Oil/Gas","FA/HW/ST","None","	 1300"
12179,"228 EVERIT ST",378210,1,1900,0.13,2625,68,"Duplex","Single Family","Vg/Exc",4,2,"Gas/Oil","FA/HW/ST","Central","	 1300"
12180,"224 EVERIT ST",510300,1,1910,0.37,3917,78,"Colonial","Single Family","Vg/Exc",5,3,"Gas/Oil","FA/HW/ST","None","	 1300"
12181,"222 EVERIT ST",435610,1,1920,0.25,2905,78,"Colonial","Single Family","Vg/Exc",3,3,"Gas/Oil","Hot Water","Central","	 1300"
12206,"171 EVERIT ST",453250,1,1910,0.22,3050,78,"Colonial","Single Family","Vg/Exc",6,3,"Gas/Oil","FA/HW/ST","None","	 1300"
12207,"177 EVERIT ST",443380,1,1920,0.22,2788,78,"Colonial","Single Family","Vg/Exc",4,2,"Gas/Oil","Hydro air","Central","	 1300"
12210,"195 EVERIT ST",458010,1,1922,0.22,3024,68,"Colonial","Single Family","Excellent +",6,4,"Gas/Oil","FA/HW/ST","Central","	 1300"
12211,"201 EVERIT ST",499870,1,1924,0.21,3896,78,"Colonial","Single Family","Vg/Exc",5,3,"Gas/Oil","Hot Water","Central","	 1300"
12216,"233 EVERIT ST",416990,1,1913,0.18,3413,68,"Colonial","Single Family","Vg/Exc",5,2,"Gas/Oil","FA/HW/ST","None","	 1300"
12220,"396 LIVINGSTON ST",769300,1,1914,0.29,4459,82,"Colonial","Single Family","Superior",5,3,"Gas/Oil","FA/HW/ST","Central","	 1300"
12226,"324 LIVINGSTON ST",757470,1,1925,0.36,4420,78,"Colonial","Single Family","Superior +",6,4,"Oil/Gas","FA/HW/ST","Central","	 1300"
12236,"26 BURNS ST",270900,1,1900,0.11,1784,68,"Colonial","Single Family","Above Average",2,2,"Oil/Gas","FA/HW/ST","None","	 1300"
12241,"254 EVERIT ST",421750,1,1908,0.16,3517,68,"Colonial","Single Family","Vg/Exc",6,3,"Gas/Oil","Hot Water","Central","	 1300"
12246,"105 EAST ROCK RD",432320,1,1910,0.11,3275,78,"Colonial","Single Family","Very Good",5,2,"Gas/Oil","Hot Water","Partial","	 1300"
12257,"9 BURNS ST",286580,1,1900,0.14,1958,68,"Colonial","Single Family","Above Average",4,2,"Oil/Gas","FA/HW/ST","None","	 1300"
12261,"55 HIGHLAND ST",1297590,1,1900,0.47,7763,90,"Colonial","Single Family","Luxurious",5,7,"Oil/Gas","FA/HW/ST","Central","	 1500"
12266,"23 EDGEHILL RD",547960,1,1904,0.3,3625,68,"Colonial","Single Family","Excellent +",6,4,"Gas/Oil","FA/HW/ST","None","	 1500"
12270,"46 HUNTINGTON ST",400680,1,1902,0.32,3074,68,"Colonial","Single Family","Very Good",5,2,"Oil/Gas","FA/HW/ST","Central","	 1500"
12271,"40 HUNTINGTON ST",507500,1,1905,0.24,3520,90,"Colonial","Single Family","Very Good",5,3,"Gas/Oil","Hot Water","None","	 1500"
12277,"674 WHITNEY AV",408660,1,1924,0.41,2874,68,"Colonial","Single Family","Very Good",4,3,"Gas/Oil","Hot Water","None","	 1500"
12282,"31 HIGHLAND ST",739130,1,1917,0.58,5332,90,"Colonial","Single Family","Excellent",6,4,"Oil/Gas","FA/HW/ST","Central","	 1500"
12284,"31 EDGEHILL RD",678440,1,1898,0.3,5030,78,"Colonial","Single Family","Excellent +",6,5,"Gas/Oil","FA/HW/ST","Central","	 1500"
12285,"35 EDGEHILL RD",590730,1,1900,0.32,4184,78,"Colonial","Single Family","Excellent +",5,2,"Gas/Oil","FA/HW/ST","None","	 1500"
12288,"57 EDGEHILL RD",617890,1,1919,0.33,4749,78,"Colonial","Single Family","Excellent +",6,4,"Gas/Oil","FA/HW/ST","Central","	 1500"
12289,"67 EDGEHILL RD",692160,1,1909,0.33,4426,68,"Colonial","Single Family","Superior -",4,3,"Gas/Oil","Hot Water","Central","	 1500"
12292,"178 EAST ROCK RD",489580,1,1905,0.31,3626,78,"Colonial","Single Family","Very Good",5,3,"Oil/Gas","FA/HW/ST","None","	 1500"
12293,"172 EAST ROCK RD",468370,1,1906,0.26,3521,78,"Colonial","Single Family","Very Good",5,2,"Gas/Oil","FA/HW/ST","None","	 1500"
12294,"166 EAST ROCK RD",477260,1,1905,0.24,3486,78,"Colonial","Single Family","Very Good",5,3,"Gas/Oil","FA/HW/ST","Central","	 1500"
12298,"150 EAST ROCK RD",459970,1,1913,0.22,3476,78,"Colonial","Single Family","Very Good",5,3,"Oil/Gas","FA/HW/ST","Central","	 1500"
12304,"23 HUNTINGTON ST",488810,1,1910,0.28,3083,90,"Colonial","Single Family","Very Good",4,3,"Gas/Oil","FA/HW/ST","Central","	 1500"
12312,"77 EDGEHILL RD",745430,1,1915,0.55,7446,68,"Colonial","Single Family","Excellent",7,6,"Oil/Gas","Steam","None","	 1500"
12314,"140 OGDEN ST",883470,1,1929,0.36,4502,96,"Colonial","Single Family","Superior +",6,4,"Gas/Oil","FA/HW/ST","Central","	 1500"
12315,"120 OGDEN ST",451640,1,1938,0.34,2537,68,"Colonial","Single Family","Excellent +",4,2,"Oil/Gas","Hot Water","None","	 1500"
12318,"70 OGDEN ST",509740,1,1948,0.21,3242,78,"Colonial","Single Family","Excellent",5,3,"Gas/Oil","Forced Hot Air","None","	 1500"
12319,"60 OGDEN ST",508375,1,1949,0.26,3786,73,"Colonial","Single Family","Excellent",4,2,"Oil/Gas","FA/HW/ST","Central","	 1500"
12322,"149 EAST ROCK RD",456400,1,1910,0.18,3464,78,"Colonial","Single Family","Very Good",5,4,"Gas/Oil","FA/HW/ST","Central","	 1500"
12323,"157 EAST ROCK RD",581910,1,1902,0.29,4700,78,"Colonial","Single Family","Vg/Exc",6,3,"Oil/Gas","FA/HW/ST","Central","	 1500"
12324,"163 EAST ROCK RD",519540,1,1911,0.25,4820,68,"Colonial","Single Family","Vg/Exc",5,3,"Oil/Gas","FA/HW/ST","None","	 1500"
12328,"189 EAST ROCK RD",486850,1,1908,0.23,3714,78,"Colonial","Single Family","Very Good",5,3,"Gas/Oil","FA/HW/ST","None","	 1500"
12332,"80 CLIFF ST",299040,1,1900,0.26,1484,68,"Colonial","Single Family","Good",3,1,"Gas/Oil","FA/HW/ST","None","	 1500"
12334,"60 CLIFF ST",462910,1,1945,0.27,3320,70,"Colonial","Single Family","Very Good",4,4,"Gas/Oil","Hot Water","None","	 1500"
12335,"50 CLIFF ST",538510,1,1947,0.26,4224,78,"Colonial","Single Family","Very Good",5,3,"Gas/Oil","FA/HW/ST","Central","	 1500"
12338,"30 CLIFF ST",422380,1,1935,0.2,2315,78,"Cape Cod","Single Family","Very Good",3,2,"Oil/Gas","FA/HW/ST","Central","	 1500"
12339,"24 CLIFF ST",454230,1,1930,0.22,2870,78,"Colonial","Single Family","Excellent",2,2,"Oil/Gas","Hot Water","None","	 1500"
12342,"63 OGDEN ST",520800,1,1940,0.26,3304,78,"Colonial","Single Family","Excellent",4,3,"Oil/Gas","FA/HW/ST","None","	 1500"
12343,"87 OGDEN ST",845600,1,1930,0.39,4244,93,"Colonial","Single Family","Superior +",7,5,"Oil/Gas","FA/HW/ST","None","	 1500"
12345,"123 OGDEN ST",962430,1,1928,0.27,5203,93,"Colonial","Single Family","Luxurious",5,4,"Gas/Oil","FA/HW/ST","Central","	 1500"
12353,"61 LOOMIS PL",613480,1,1925,0.42,4108,78,"Colonial","Single Family","Excellent +",5,3,"Oil/Gas","FA/HW/ST","Central","	 1500"
12354,"77 LOOMIS PL",544460,1,1925,0.42,3267,78,"Cape Cod","Single Family","Excellent",4,3,"Oil/Gas","FA/HW/ST","Central","	 1500"
12355,"85 LOOMIS PL",597450,1,1934,0.42,2984,90,"Colonial","Single Family","Excellent +",3,2,"Oil/Gas","FA/HW/ST","None","	 1500"
12358,"460 SAINT RONAN ST",930720,1,1913,0.4,6200,78,"Colonial","Single Family","Superior +",5,3,"Gas/Oil","Hot Water","Central","	 1500"
12359,"450 SAINT RONAN ST",734510,1,1910,0.41,4767,68,"Colonial","Single Family","Superior +",7,4,"Gas/Oil","Steam","None","	 1500"
12362,"408 SAINT RONAN ST",801360,1,1913,0.81,6507,68,"Colonial","Single Family","Superior",6,4,"Gas/Oil","Hot Water","Partial","	 1500"
12363,"396 SAINT RONAN ST",1030820,1,1912,0.4,7925,78,"Colonial","Single Family","Superior",4,4,"Oil/Gas","FA/HW/ST","Central","	 1500"
12365,"376 SAINT RONAN ST",790790,1,1911,0.47,5568,68,"Colonial","Single Family","Superior +",6,4,"Oil/Gas","FA/HW/ST","None","	 1500"
12373,"395 SAINT RONAN ST",605570,1,1900,0.25,3205,93,"Colonial","Single Family","Excellent +",4,3,"Gas/Oil","FA/HW/ST","Central","	 1500"
12374,"401 SAINT RONAN ST",532350,1,1967,0.31,3339,78,"Contemporary","Single Family","Excellent",3,4,"Gas/Oil","Hot Water","Central","	 1500"
12375,"403 SAINT RONAN ST",728490,1,1920,0.32,4950,68,"Colonial","Single Family","Superior -",5,4,"Oil/Gas","FA/HW/ST","Partial","	 1500"
12378,"425 SAINT RONAN ST",831040,1,1906,0.29,6650,68,"Colonial","Single Family","Superior +",6,4,"Oil/Gas","FA/HW/ST","None","	 1500"
12379,"86 AUTUMN ST",702660,1,2000,0.24,3356,93,"Contemporary","Single Family","Superior +",5,4,"Gas/Oil","Hot Water","Central","	 1500"
12381,"427 SAINT RONAN ST",735140,1,1904,0.61,5555,68,"Colonial","Single Family","Superior",5,3,"Oil/Gas","FA/HW/ST","None","	 1500"
12386,"32 HIGHLAND ST",549010,1,1927,0.42,2900,90,"Cape Cod","Single Family","Excellent",4,3,"Gas/Oil","FA/HW/ST","None","	 1500"
12390,"40 AUTUMN ST",437430,1,1960,0.15,3118,78,"Colonial","Single Family","Very Good",3,3,"Gas/Oil","Hot Water","None","	 1500"
12396,"27 AUTUMN ST",297780,1,1900,0.09,1982,68,"Colonial","Single Family","Ave/Good",3,1,"Electric","Heat pump","Heat Pump","	 1500"
12397,"35 AUTUMN ST",325080,1,1915,0.09,2011,78,"Colonial","Single Family","Ave/Good",3,2,"Oil/Gas","FA/HW/ST","None","	 1500"
12400,"49 AUTUMN ST",373030,1,1915,0.08,2961,68,"Colonial","Single Family","Very Good",6,3,"Oil/Gas","FA/HW/ST","None","	 1500"
12401,"55 AUTUMN ST",504280,1,1927,0.2,4045,68,"Colonial","Single Family","Excellent",5,3,"Oil/Gas","Forced Hot Air","None","	 1500"
12406,"24 HIGHLAND ST",407050,1,1903,0.12,2796,78,"Colonial","Single Family","Very Good",4,3,"Oil/Gas","Forced Hot Air","None","	 1500"
12410,"618 WHITNEY AV",472990,1,1910,0.21,3748,78,"Colonial","Single Family","Very Good",7,3,"Gas/Oil","FA/HW/ST","Central","	 1500"
12476,"532 WHITNEY AV",385000,1,1900,0.17,4524,78,"Colonial","Single Family","Excellent",7,3,"Oil/Gas","FA/HW/ST","Central","	 1500"
12482,"217 SAINT RONAN ST",882000,1,1900,0.73,7324,78,"Colonial","Single Family","Superior +",7,4,"Oil/Gas","FA/HW/ST","Central","	 1500"
12483,"225 SAINT RONAN ST",571200,1,1900,0.23,4495,68,"Colonial","Single Family","Excellent +",6,3,"Gas/Oil","Hot Water","Central","	 1500"
12484,"247 SAINT RONAN ST",742840,1,1890,0.37,3655,96,"Colonial","Single Family","Superior +",4,4,"Oil/Gas","Steam","Central","	 1500"
12508,"317 SAINT RONAN ST",434980,1,1916,0.22,3193,68,"Colonial","Single Family","Vg/Exc",4,3,"Oil/Gas","FA/HW/ST","Central","	 1500"
12509,"325 SAINT RONAN ST",521850,1,1910,0.21,3662,68,"Colonial","Single Family","Excellent +",5,3,"Oil/Gas","FA/HW/ST","None","	 1500"
12512,"278 CANNER ST",350420,1,1900,0.18,2612,68,"Colonial","Single Family","Ave/Good",4,3,"Gas/Oil","FA/HW/ST","Central","	 1500"
12513,"345 SAINT RONAN ST",606550,1,1920,0.29,3984,78,"Colonial","Single Family","Superior +",5,5,"Oil/Gas","FA/HW/ST","Central","	 1500"
12514,"270 CANNER ST",503230,1,1915,0.24,4037,78,"Colonial","Single Family","Very Good",6,3,"Oil/Gas","FA/HW/ST","None","	 1500"
12591,"299 LAWRENCE ST",571410,1,1900,0.21,4006,90,"Colonial","Single Family","Vg/Exc",6,4,"Oil/Gas","FA/HW/ST","Central","	 1500"
12600,"126 COTTAGE ST",441980,1,1898,0.21,3861,68,"Colonial","Single Family","Very Good",5,2,"Oil/Gas","Hot Water","Central","	 1300"
12601,"120 COTTAGE ST",425040,1,1900,0.18,3816,68,"Colonial","Single Family","Very Good",4,3,"Oil/Gas","FA/HW/ST","Central","	 1300"
12607,"34 LIVINGSTON ST",400820,1,1900,0.17,3384,68,"Rooming House","Single Family","Average",9,4,"Gas/Oil","FA/HW/ST","Central","	 1300"
12616,"250 EDWARDS ST",442190,1,1900,0.2,4147,68,"Colonial","Single Family","Very Good",4,2,"Oil/Gas","FA/HW/ST","Central","	 1300"
12636,"165 BISHOP ST",425390,1,1910,0.27,3706,68,"Colonial","Single Family","Very Good",4,3,"Gas/Oil","FA/HW/ST","Central","	 1300"
12637,"169 BISHOP ST",549290,1,1910,0.25,4699,78,"Colonial","Single Family","Very Good",7,5,"Oil/Gas","FA/HW/ST","Central","	 1300"
12640,"191 BISHOP ST",511140,1,1900,0.28,4327,78,"Colonial","Single Family","Very Good",4,3,"Oil/Gas","FA/HW/ST","Central","	 1300"
12641,"195 BISHOP ST",309890,1,1900,0.14,2068,68,"Colonial","Single Family","Good",4,2,"Gas/Oil","FA/HW/ST","Heat Pump","	 1300"
12666,"238 LAWRENCE ST",325710,1,1900,0.16,2799,68,"Colonial","Single Family","Ave/Good",5,2,"Gas/Oil","FA/HW/ST","Central","	 1300"
12670,"20 LIVINGSTON ST",296590,1,1900,0.06,2679,78,"Colonial","Single Family","Above Average",6,2,"Gas/Oil","Hot Water","None","	 1300"
12676,"27 LIVINGSTON ST",348810,1,1890,0.17,2756,78,"Colonial","Single Family","Ave/Good",5,2,"Gas/Oil","FA/HW/ST","None","	 1300"
12685,"666 ORANGE ST",443240,1,1900,0.21,3436,90,"Colonial","Single Family","Good",3,2,"Oil/Gas","FA/HW/ST","Central","	 1300"
12698,"94 COTTAGE ST",321020,1,1900,0.12,2850,68,"Colonial","Single Family","Ave/Good",4,2,"Gas/Oil","FA/HW/ST","Central","	 1300"
12699,"92 COTTAGE ST",367640,1,1900,0.17,2709,78,"Colonial","Single Family","Good",5,3,"Gas/Oil","FA/HW/ST","Central","	 1300"
12729,"222 BISHOP ST",512750,1,1905,0.22,5374,68,"Colonial","Single Family","Very Good",5,3,"Oil/Gas","Hot Water","Central","	 1300"
12732,"192 BISHOP ST",566580,1,1900,0.23,3743,78,"Colonial","Single Family","Excellent +",5,4,"Oil/Gas","Hot Water","Central","	 1300"
12733,"188 BISHOP ST",554820,1,1916,0.23,3799,78,"Colonial","Single Family","Excellent +",6,3,"Gas/Oil","FA/HW/ST","Central","	 1300"
12735,"172 BISHOP ST",523040,1,1912,0.31,3592,68,"Colonial","Single Family","Excellent +",5,3,"Gas/Oil","FA/HW/ST","Central","	 1300"
12752,"401 HUMPHREY ST",596120,1,1912,0.27,4119,78,"Colonial","Single Family","Excellent +",6,3,"Oil/Gas","FA/HW/ST","None","	 1300"
12753,"409 HUMPHREY ST",795480,1,1910,0.28,7048,78,"Colonial","Single Family","Excellent +",5,4,"Gas/Oil","Forced Hot Air","Central","	 1300"
12754,"415 HUMPHREY ST",640850,1,1911,0.27,4688,78,"Colonial","Single Family","Excellent +",5,4,"Oil/Gas","FA/HW/ST","Central","	 1300"
12769,"452 HUMPHREY ST",394100,1,1940,0.1,2529,78,"Row House","Single Family","Very Good",3,3,"Oil/Gas","FA/HW/ST","None","	 1300"
12772,"444 HUMPHREY ST",385000,1,1940,0.11,2433,78,"Row House","Single Family","Very Good",5,3,"Oil/Gas","FA/HW/ST","None","	 1300"
12773,"440 HUMPHREY ST",547330,1,1953,0.34,2977,90,"Colonial","Single Family","Excellent +",3,3,"Oil/Gas","FA/HW/ST","None","	 1300"
12774,"438 HUMPHREY ST",593810,1,1930,0.5,4321,78,"Colonial","Single Family","Excellent",6,4,"Oil/Gas","Hot Water","Central","	 1300"
12778,"428 HUMPHREY ST",368760,1,1941,0.2,2502,68,"Row House","Single Family","Very Good",3,3,"Gas/Oil","Hot Water","None","	 1300"
12781,"412 HUMPHREY ST",521780,1,1922,0.21,3741,78,"Colonial","Single Family","Excellent",4,1,"Oil/Gas","FA/HW/ST","Central","	 1300"
12820,"42 LINCOLN ST",519890,1,1924,0.15,3260,78,"Colonial","Single Family","Excellent +",3,3,"Oil/Gas","FA/HW/ST","Central","	 1300"
12821,"40 LINCOLN ST",544670,1,1930,0.18,3287,90,"Colonial","Single Family","Excellent +",3,3,"Oil/Gas","FA/HW/ST","Central","	 1300"
12837,"37 LINCOLN ST",640570,1,1925,0.17,4578,78,"Colonial","Single Family","Excellent +",4,3,"Gas/Oil","Hot Water","Central","	 1300"
12840,"51 LINCOLN ST",419230,1,1925,0.14,2712,68,"Colonial","Single Family","Excellent",5,3,"Oil/Gas","Hot Water","Central","	 1300"
12914,"415 TEMPLE ST",336210,1,1840,0.08,1802,68,"Row House","Single Family","Very Good",4,3,"Gas/Oil","Hot Water","Central","	 1300"
12972,"262 BRADLEY ST",436660,1,1890,0.12,3783,63,"Rooming House","Single Family","Above Average",9,4,"Gas/Oil","Steam","None","	 1300"
12980,"244 BRADLEY ST",404250,1,1850,0.11,2624,78,"Colonial","Single Family","Very Good",4,2,"Oil/Gas","FA/HW/ST","None","	 1300"
12986,"14 LINCOLN ST",416850,1,1854,0.12,3177,68,"Colonial","Single Family","Excellent",5,2,"Oil/Gas","FA/HW/ST","Central","	 1300"
12987,"12 LINCOLN ST",494620,1,1840,0.12,2585,96,"Colonial","Single Family","Excellent",2,2,"Gas/Oil","FA/HW/ST","Central","	 1300"
13088,"2 LINCOLN ST",261730,1,1840,0.07,2025,68,"Mix Use Res Tp","Single Family","Average",2,3,"Oil/Gas","FA/HW/ST","Central","	 1300"
13094,"40 TRUMBULL ST",325360,1,1865,0.04,3544,68,"Row House","Single Family","Good",5,3,"Oil/Gas","Hot Water","None","	 1300"
13226,"58 SEA ST",133630,1,1925,0.11,1748,68,"Colonial","Single Family","Above Average",3,2,"Gas/Oil","Hot Water","None","	 2100"
13230,"33 SOUTH WATER ST",124670,1,1915,0.05,1316,68,"Colonial","Single Family","Average",3,1,"Oil/Gas","FA/HW/ST","None","	 2100"
13240,"73 SOUTH WATER ST",150360,1,1947,0.22,1100,78,"Colonial","Single Family","Average",3,1,"Gas/Oil","FA/HW/ST","None","	 2100"
13247,"41 HOWARD AV",161350,1,1850,0.14,2252,78,"Colonial","Single Family","Above Average",4,2,"Gas/Oil","Steam","None","	 2100"
13329,"48 HOWARD AV",147980,1,1918,0.11,1680,78,"Colonial","Single Family","Above Average",4,2,"Oil/Gas","FA/HW/ST","Central","	 2100"
13362,"46 SIXTH ST",121380,1,1920,0.13,1310,78,"Bungalow","Single Family","Above Average",3,2,"Oil/Gas","FA/HW/ST","None","	 2100"
13378,"75 HOWARD AV",175000,1,1913,0.17,2294,78,"Colonial","Single Family","Ave/Good",3,1,"Oil/Gas","Hot Water","None","	 2100"
13407,"116 GREENWICH AV",104440,1,1920,0.14,1260,68,"Cape Cod","Single Family","Average",3,1,"Oil/Gas","Steam","None","	 2100"
13411,"134 GREENWICH AV",95340,1,1920,0.07,976,68,"Cape Cod","Single Family","Average",2,1,"Gas/Oil","FA/HW/ST","Central","	 2100"
13421,"74 FIFTH ST",90930,1,1920,0.1,1802,45,"Colonial","Single Family","Average",5,1,"Oil/Gas","FA/HW/ST","None","	 2100"
13450,"135 HALLOCK AV",77770,1,1935,0.22,1344,68,"Colonial","Single Family","Average",3,1,"Oil/Gas","FA/HW/ST","None","	 2000"
13504,"146 PORTSEA ST",83370,1,1900,0.07,1979,68,"Colonial","Single Family","Average",3,1,"Gas/Oil","FA/HW/ST","None","	 2000"
13508,"134 PORTSEA ST",78400,1,1910,0.06,1384,78,"Colonial","Single Family","Average",3,1,"Oil/Gas","FA/HW/ST","None","	 2000"
13509,"132 PORTSEA ST",72240,1,1910,0.07,1258,78,"Colonial","Single Family","Average",3,1,"Oil/Gas","FA/HW/ST","None","	 2000"
13513,"14 LOOP RD",111160,1,1960,0.16,1770,68,"Ranch","Single Family","Above Average",4,3,"Oil/Gas","FA/HW/ST","None","	 2000"
13523,"59 LIBERTY ST",86450,1,1900,0.05,1716,78,"Colonial","Single Family","Average",4,2,"Oil/Gas","FA/HW/ST","None","	 2000"
13524,"61 LIBERTY ST",59570,1,1900,0.07,941,68,"Cape Cod","Single Family","Average",3,1,"Gas/Oil","FA/HW/ST","None","	 2000"
